Price per GB,Price per TB,Price,Capacity,Warranty,Form Factor,Technology,Condition,Affiliate Link,Affiliate Link HTML
₹2,"₹2,340","₹11,699",5 TB,3 years,"External 3.5""",HDD,New,"Western Digital WD 5TB Elements Portable Hard Disk Drive, USB 3.0, Compatible with PC, PS4 and Xbox, External HDD (WDBHDW0050BBK-EESN)","<a href=""https://www.amazon.in/dp/B08D88ZHLD"">Western Digital WD 5TB Elements Portable Hard Disk Drive, USB 3.0, Compatible with PC, PS4 and Xbox, External HDD (WDBHDW0050BBK-EESN)</a>"
₹2,"₹2,380","₹11,899",5 TB,2 years,"External 3.5""",HDD,New,"LaCie Mobile Drive 5TB External Hard Drive HDD – Space Grey USB-C USB 3.0, for Mac and PC Desktop (STHG5000402)","<a href=""https://www.amazon.in/dp/B07S99JG85"">LaCie Mobile Drive 5TB External Hard Drive HDD – Space Grey USB-C USB 3.0, for Mac and PC Desktop (STHG5000402)</a>"
₹2,"₹2,390","₹11,949",5 TB,3 years,"External 3.5""",HDD,New,"Western Digital WD 5TB My Passport Portable Hard Disk Drive, USB 3.0 with Automatic Backup, 256 Bit AES Hardware Encryption,Password Protection,Compatible with Windows and Mac, External HDD-Red","<a href=""https://www.amazon.in/dp/B085P17XND"">Western Digital WD 5TB My Passport Portable Hard Disk Drive, USB 3.0 with Automatic Backup, 256 Bit AES Hardware Encryption,Password Protection,Compatible with Windows and Mac, External HDD-Red</a>"
₹2,"₹2,390","₹11,949",5 TB,3 years,"External 3.5""",HDD,New,"Western Digital WD 5TB My Passport Portable Hard Disk Drive, USB 3.0 with Automatic Backup, 256 Bit AES Hardware Encryption,Password Protection,Compatible with Windows and Mac, External HDD-Blue","<a href=""https://www.amazon.in/dp/B083QSGZP9"">Western Digital WD 5TB My Passport Portable Hard Disk Drive, USB 3.0 with Automatic Backup, 256 Bit AES Hardware Encryption,Password Protection,Compatible with Windows and Mac, External HDD-Blue</a>"
₹2,"₹2,390","₹11,949",5 TB,3 years,"External 3.5""",HDD,New,"Western Digital WD 5TB My Passport Portable Hard Disk Drive, USB 3.0 with Automatic Backup, 256 Bit AES Hardware Encryption,Password Protection,Compatible with Windows and Mac, External HDD-White","<a href=""https://www.amazon.in/dp/B088P3KZZ9"">Western Digital WD 5TB My Passport Portable Hard Disk Drive, USB 3.0 with Automatic Backup, 256 Bit AES Hardware Encryption,Password Protection,Compatible with Windows and Mac, External HDD-White</a>"
₹2,"₹2,399","₹2,399",1 TB,2 years,"Internal 3.5""",HDD,New,D25 Video 1TB Hard Disk for Hikvision DS-7A16HGHI-F1/N 16 Channel DVR | 1TB Hard Disk for 16 Channel CCTV Camera DVR,"<a href=""https://www.amazon.in/dp/B0CJYK54PT"">D25 Video 1TB Hard Disk for Hikvision DS-7A16HGHI-F1/N 16 Channel DVR | 1TB Hard Disk for 16 Channel CCTV Camera DVR</a>"
₹2,"₹2,399","₹2,399",1 TB,2 years,"Internal 3.5""",HDD,New,D25 Video 1TB Hard Disk for Hikvision (DS-7108HGHI-M1) 8 Channel DVR | 1TB Hard Disk for 8 Channel CCTV Camera DVR | 1TB Surveillance Hard Disk,"<a href=""https://www.amazon.in/dp/B0CR8L5G1M"">D25 Video 1TB Hard Disk for Hikvision (DS-7108HGHI-M1) 8 Channel DVR | 1TB Hard Disk for 8 Channel CCTV Camera DVR | 1TB Surveillance Hard Disk</a>"
₹2,"₹2,400","₹11,999",5 TB,3 years,"External 3.5""",HDD,New,"Western Digital WD 5TB My Passport Portable Hard Disk Drive, USB 3.0 with Automatic Backup, 256 Bit AES Hardware Encryption,Password Protection,Compatible with Windows and Mac, External HDD-Black","<a href=""https://www.amazon.in/dp/B07VP5X239"">Western Digital WD 5TB My Passport Portable Hard Disk Drive, USB 3.0 with Automatic Backup, 256 Bit AES Hardware Encryption,Password Protection,Compatible with Windows and Mac, External HDD-Black</a>"
₹2,"₹2,410","₹12,049",5 TB,3 years,"External 3.5""",HDD,New,Seagate Portable 5TB External HDD USB 3.0 for PC Laptop and Mac (STGX5000400),"<a href=""https://www.amazon.in/dp/B07XTP6P9J"">Seagate Portable 5TB External HDD USB 3.0 for PC Laptop and Mac (STGX5000400)</a>"
₹2,"₹2,419","₹19,349",8 TB,3 years,"External 3.5""",HDD,New,"Seagate One Touch Hub 8TB Desktop External HDD USB-C & USB 3.0 Port, with 3 yr Data Recovery Services, for Computer PC Laptop Mac, 6 Month Mylio Create and Dropbox Plan (STLC8000400), Black","<a href=""https://www.amazon.in/dp/B093WZHS1G"">Seagate One Touch Hub 8TB Desktop External HDD USB-C & USB 3.0 Port, with 3 yr Data Recovery Services, for Computer PC Laptop Mac, 6 Month Mylio Create and Dropbox Plan (STLC8000400), Black</a>"
