Price_per_GB,Price_per_TB,Price,Capacity,Warranty,Form Factor,Technology,Condition,Affiliate Link,Affiliate Link HTML,,,,
$0.01 ,$7.53 ,$90 ,12 TB,,Tape,LTO-8,New,Hewlett Packard Enterprise LTO Ultrium Worm 8-12 TB / 30 TB - Write-on Labels - Green,"<a href=""https://www.amazon.com/dp/B078KGVM84"">Hewlett Packard Enterprise LTO Ultrium Worm 8-12 TB / 30 TB - Write-on Labels - Green</a>",,,,
$0.01 ,$7.66 ,$383 ,2.5 TB x20,,Tape,LTO-6,New,mLogic FujiFilm LTO-6 Tape Cartridges 20 pack,"<a href=""https://www.amazon.com/dp/B07BK9TM6K"">mLogic FujiFilm LTO-6 Tape Cartridges 20 pack</a>",,,,
$0.01 ,$7.69 ,$92 ,12 TB,,Tape,LTO-8,New,"01PL041 - IBM LTO-8 Ultrium, 12TB/ 30TB, Part # 01PL041","<a href=""https://www.amazon.com/dp/B07BKMPBY2"">01PL041 - IBM LTO-8 Ultrium, 12TB/ 30TB, Part # 01PL041</a>",,,,
$0.01 ,$7.80 ,$390 ,2.5 TB x20,2 years,Tape,LTO-6,New,Fuji LTO 6 Tape Cartridge 20 Pack,"<a href=""https://www.amazon.com/dp/B0CYDWXQ3N"">Fuji LTO 6 Tape Cartridge 20 Pack</a>",,,,
$0.01 ,$7.92 ,$47 ,6 TB,,Tape,LTO-7,New,Lto Ultrium 7 Worm Media Cartridge,"<a href=""https://www.amazon.com/dp/B019JJOPZI"">Lto Ultrium 7 Worm Media Cartridge</a>",,,,
$0.01 ,$8.00 ,$80 ,10 TB,3 months,"Internal 3.5""",HDD,Used,HGST Ultrastar He10 | HUH721010ALE600 | 0F27604 | 10TB SATA 6-Gbps 7.2K RPM 256MB 3.5in 512E ISE Hard Drive (Renewed),"<a href=""https://www.amazon.com/dp/B07DPKWLJR"">HGST Ultrastar He10 | HUH721010ALE600 | 0F27604 | 10TB SATA 6-Gbps 7.2K RPM 256MB 3.5in 512E ISE Hard Drive (Renewed)</a>",,,,
$0.01 ,$8.00 ,$80 ,10 TB,5 years,"Internal 3.5""",HDD,Used,MDD - HGST He10 (HUH721010ALE601) 10TB 7200RPM 128MB Cache SATA 6.0Gb/s 3.5inch Enterprise Hard Drive (Renewed),"<a href=""https://www.amazon.com/dp/B0BSB7J2Z8"">MDD - HGST He10 (HUH721010ALE601) 10TB 7200RPM 128MB Cache SATA 6.0Gb/s 3.5inch Enterprise Hard Drive (Renewed)</a>",,,,
$0.01 ,$8.00 ,$80 ,10 TB,3 months,"Internal 3.5""",HDD,Used,"HGST WD Ultrastar DC HC510 10TB 7200RPM SATA 6Gb/s 3.5"" SED Hard Drive - HUH721010ALE601 (0F27605) (Renewed)","<a href=""https://www.amazon.com/dp/B09VY75NLH"">HGST WD Ultrastar DC HC510 10TB 7200RPM SATA 6Gb/s 3.5"" SED Hard Drive - HUH721010ALE601 (0F27605) (Renewed)</a>",,,,
$0.01 ,$8.00 ,$80 ,10 TB,5 years,"Internal 3.5""",HDD,Used,MDD - HGST DC HC510 (HUH721010ALE604) 10TB 7200RPM 128MB Cache SATA 6.0Gb/s 3.5inch Enterprise Hard Drive (Renewed),"<a href=""https://www.amazon.com/dp/B0DBMZZTM6"">MDD - HGST DC HC510 (HUH721010ALE604) 10TB 7200RPM 128MB Cache SATA 6.0Gb/s 3.5inch Enterprise Hard Drive (Renewed)</a>",,,,
$0.01 ,$8.00 ,$80 ,10 TB,1 year,Internal,SAS,Used,"HGST Ultrastar HE10 | HUH721010AL5200 | 0F27352 | 10TB 7200 RPM SAS 12.0GB/S 256MB Cache 3.5"" Inch | Instant Secure Erase | 512E | Helium Platform Enterprise Internal Bare Hard Disk Drive","<a href=""https://www.amazon.com/dp/B01GXUR98G"">HGST Ultrastar HE10 | HUH721010AL5200 | 0F27352 | 10TB 7200 RPM SAS 12.0GB/S 256MB Cache 3.5"" Inch | Instant Secure Erase | 512E | Helium Platform Enterprise Internal Bare Hard Disk Drive</a>","<a href=""https://www.amazon.com/dp/B01GXUR98G"">HGST Ultrastar HE10 | HUH721010AL5200 | 0F27352 | 10TB 7200 RPM SAS 12.0GB/S 256MB Cache 3.5"" Inch | Instant Secure Erase | 512E | Helium Platform Enterprise Internal Bare Hard Disk Drive</a>",,,
$0.01 ,$8.00 ,$20 ,2.5 TB,,Tape,LTO-6,New,Hewlett-Packard Enterprise Hp C7976A LTO 6 Ultrium (2.5/6.25 TB) MP RW Data Cartridge,"<a href=""https://www.amazon.com/dp/B00BRF330Q"">Hewlett-Packard Enterprise Hp C7976A LTO 6 Ultrium (2.5/6.25 TB) MP RW Data Cartridge</a>",,,,
$0.01 ,$8.06 ,$113 ,14 TB,3 years,"Internal 3.5""",HDD,Used,MDD 14TB 7200RPM 256MB Cache SATA 6.0Gb/s 3.5inch Internal Hard Drive for Surveillance Storage (MD14TGSA25672DVR) - 3 Years Warranty (Renewed),"<a href=""https://www.amazon.com/dp/B0BQSWTT55"">MDD 14TB 7200RPM 256MB Cache SATA 6.0Gb/s 3.5inch Internal Hard Drive for Surveillance Storage (MD14TGSA25672DVR) - 3 Years Warranty (Renewed)</a>","<a href=""https://www.amazon.com/dp/B0BZJY1KTM"">MDD 14TB 7200RPM 256MB Cache SATA 6.0Gb/s 3.5inch Internal Hard Drive for Surveillance Storage (MD14TGSA25672DVR) - 3 Years Warranty (Renewed)</a>",,,
$0.01 ,$8.10 ,$113 ,14 TB,5 years,"Internal 3.5""",HDD,Used,"MDD (MD14TSATA25672NAS) 14TB 7200 RPM 256MB Cache SATA 6.0Gb/s 3.5"" Internal NAS Hard Drive - 5 Years Warranty (Renewed)","<a href=""https://www.amazon.com/dp/B0BYTWVS8K"">MDD (MD14TSATA25672NAS) 14TB 7200 RPM 256MB Cache SATA 6.0Gb/s 3.5"" Internal NAS Hard Drive - 5 Years Warranty (Renewed)</a>",,,,
$0.01 ,$8.14 ,$114 ,14 TB,3 years,"Internal 3.5""",HDD,Used,MDD (MD14TBGSA25672X) 14TB 7200RPM SATA 6Gb/s 256MB Cache 3.5inch Internal Desktop Hard Drive (Renewed),"<a href=""https://www.amazon.com/dp/B0DBGQN8QZ"">MDD (MD14TBGSA25672X) 14TB 7200RPM SATA 6Gb/s 256MB Cache 3.5inch Internal Desktop Hard Drive (Renewed)</a>",,,,
$0.01 ,$8.21 ,$98 ,12 TB,5 years,"Internal 3.5""",HDD,Used,MDD - HC520 HUH721212ALE601 12TB 7200RPM 128MB Cache SATA 6.0Gb/s 3.5inch Enterprise Hard Drive - 5 Year Warranty (Renewed),"<a href=""https://www.amazon.com/dp/B0CSMB8TYR"">MDD - HC520 HUH721212ALE601 12TB 7200RPM 128MB Cache SATA 6.0Gb/s 3.5inch Enterprise Hard Drive - 5 Year Warranty (Renewed)</a>",,,,
$0.01 ,$8.25 ,$99 ,12 TB,3 months,"Internal 3.5""",HDD,Used,MDD (MDD12TSATA25672DVR) 12TB 7200RPM 256MB Cache SATA 6.0Gb/s 3.5inch Internal Surveillance Hard Drive - 3 Years Warranty (Renewed),"<a href=""https://www.amazon.com/dp/B0C6C9X2QX"">MDD (MDD12TSATA25672DVR) 12TB 7200RPM 256MB Cache SATA 6.0Gb/s 3.5inch Internal Surveillance Hard Drive - 3 Years Warranty (Renewed)</a>",,,,
$0.01 ,$8.29 ,$116 ,14 TB,3 years,"Internal 3.5""",HDD,Used,MDD 14TB 7200RPM 256MB Cache SATA 6.0Gb/s 3.5inch Internal Hard Drive for Surveillance Storage (MD14TGSA25672DVR) - 3 Years Warranty (Renewed),"<a href=""https://www.amazon.com/dp/B0BQSWTT55"">MDD 14TB 7200RPM 256MB Cache SATA 6.0Gb/s 3.5inch Internal Hard Drive for Surveillance Storage (MD14TGSA25672DVR) - 3 Years Warranty (Renewed)</a>","<a href=""https://www.amazon.com/dp/B0BZJY1KTM"">MDD 14TB 7200RPM 256MB Cache SATA 6.0Gb/s 3.5inch Internal Hard Drive for Surveillance Storage (MD14TGSA25672DVR) - 3 Years Warranty (Renewed)</a>",,,
$0.01 ,$8.30 ,$498 ,6 TB x10,,Tape,LTO-7,New,Fuji LTO 7 Ultrium Tape - 10 Pack,"<a href=""https://www.amazon.com/dp/B0743K3W7Y"">Fuji LTO 7 Ultrium Tape - 10 Pack</a>",,,,
$0.01 ,$8.33 ,$100 ,12 TB,,Tape,LTO-8,New,OT LTO-8 DATA CARTRIDGE SINGLE WITH LIMITED,"<a href=""https://www.amazon.com/dp/B0BLFTHYDM"">OT LTO-8 DATA CARTRIDGE SINGLE WITH LIMITED</a>",,,,
