Price per GB,Price per TB,Price,Capacity,Warranty,Form Factor,Technology,Condition,Affiliate Link,Affiliate Link HTML
£0.014,£14.40,£202,14 TB,2 years,"External 3.5""",HDD,Used,"WD 14 TB Elements Desktop External Hard Drive - USB 3.0, Black","<a href=""https://www.amazon.co.uk/dp/B07Y3KDVZH"">WD 14 TB Elements Desktop External Hard Drive - USB 3.0, Black</a>","<a href=""https://www.amazon.co.uk/dp/B07Y3KDVZH"">WD 14 TB Elements Desktop External Hard Drive - USB 3.0, Black</a>"
£0.015,£14.72,£265,18 TB,,"Internal 3.5""",HDD,Used,"Seagate Exos X18 Enterprise Class, 18TB, Enterprise Internal Hard Drive, SATA, 3,5"" 6Gbit/s, 128MB cache ((ST18000NM000J)","<a href=""https://www.amazon.co.uk/dp/B08JV6PP9B"">Seagate Exos X18 Enterprise Class, 18TB, Enterprise Internal Hard Drive, SATA, 3,5"" 6Gbit/s, 128MB cache ((ST18000NM000J)</a>","<a href=""https://www.amazon.co.uk/dp/B08JV6PP9B"">Seagate Exos X18 Enterprise Class, 18TB, Enterprise Internal Hard Drive, SATA, 3,5"" 6Gbit/s, 128MB cache ((ST18000NM000J)</a>"
£0.015,£14.74,£236,16 TB,3 years,"Internal 3.5""",HDD,New,"Seagate IronWolf Pro, 16 TB, NAS Internal Hard Drive, CMR 3.5 Inch, SATA 6 Gb/s 7,200 RPM, 256 MB Cache, for RAID Network Attached Storage, 3 years Rescue Services, FFP (‎ST16000NE000)","<a href=""https://www.amazon.co.uk/dp/B07SJTST6T"">Seagate IronWolf Pro, 16 TB, NAS Internal Hard Drive, CMR 3.5 Inch, SATA 6 Gb/s 7,200 RPM, 256 MB Cache, for RAID Network Attached Storage, 3 years Rescue Services, FFP (‎ST16000NE000)</a>","<a href=""https://www.amazon.co.uk/dp/B07SJTST6T"">Seagate IronWolf Pro, 16 TB, NAS Internal Hard Drive, CMR 3.5 Inch, SATA 6 Gb/s 7,200 RPM, 256 MB Cache, for RAID Network Attached Storage, 3 years Rescue Services, FFP (‎ST16000NE000)</a>"
£0.015,£14.88,£119,8 TB,2 years,"External 3.5""",HDD,Used,"WD 8TB My Book external hard drive, Desktop HDD with Password Protection, USB 3.0, SuperSpeed USB, software for device management, backup, hardware encryption, works with PC and Mac, Black","<a href=""https://www.amazon.co.uk/dp/B01LWVT81X"">WD 8TB My Book external hard drive, Desktop HDD with Password Protection, USB 3.0, SuperSpeed USB, software for device management, backup, hardware encryption, works with PC and Mac, Black</a>","<a href=""https://www.amazon.co.uk/dp/B01LWVT81X"">WD 8TB My Book external hard drive, Desktop HDD with Password Protection, USB 3.0, SuperSpeed USB, software for device management, backup, hardware encryption, works with PC and Mac, Black</a>"
£0.015,£14.89,"£1,786",6 TB x20,,Tape,LTO-7,New,"Hewlett Packard Enterprise LTO-7 Ultrium WORM, 15 TB LTO - blank data tapes (15 TB, LTO, 10 - 80%, 20 - 60%)","<a href=""https://www.amazon.co.uk/dp/B017OUMZC4"">Hewlett Packard Enterprise LTO-7 Ultrium WORM, 15 TB LTO - blank data tapes (15 TB, LTO, 10 - 80%, 20 - 60%)</a>"
£0.015,£14.98,£90,6 TB,,Tape,LTO-7,New,QUANTUM MR-L7MQN-02 LTO ULTRIUM 7 WORM MEDIA CARTRIDGE - (Consumables > Data Cartridges),"<a href=""https://www.amazon.co.uk/dp/B019JJOPZI"">QUANTUM MR-L7MQN-02 LTO ULTRIUM 7 WORM MEDIA CARTRIDGE - (Consumables > Data Cartridges)</a>"
£0.015,£15.00,£30,2 TB,1 year,"Internal 3.5""",HDD,Used,"Sonnics 3.5"" SATA Hard Drive 7200RPM Desktop PC/Surveillance Storage Hard Drive CCTV Camera CCTV System DVR (2TB)","<a href=""https://www.amazon.co.uk/dp/B0BLDSQCNJ"">Sonnics 3.5"" SATA Hard Drive 7200RPM Desktop PC/Surveillance Storage Hard Drive CCTV Camera CCTV System DVR (2TB)</a>"
£0.015,£15.00,£240,16 TB,3 years,"Internal 3.5""",HDD,Used,"Seagate IronWolf Pro, 16 TB, NAS Internal Hard Drive, CMR 3.5 Inch, SATA 6 Gb/s 7,200 RPM, 256 MB Cache, for RAID Network Attached Storage, 3 years Rescue Services, FFP (‎ST16000NE000)","<a href=""https://www.amazon.co.uk/dp/B07SJTST6T"">Seagate IronWolf Pro, 16 TB, NAS Internal Hard Drive, CMR 3.5 Inch, SATA 6 Gb/s 7,200 RPM, 256 MB Cache, for RAID Network Attached Storage, 3 years Rescue Services, FFP (‎ST16000NE000)</a>","<a href=""https://www.amazon.co.uk/dp/B07SJTST6T"">Seagate IronWolf Pro, 16 TB, NAS Internal Hard Drive, CMR 3.5 Inch, SATA 6 Gb/s 7,200 RPM, 256 MB Cache, for RAID Network Attached Storage, 3 years Rescue Services, FFP (‎ST16000NE000)</a>"
£0.015,£15.07,£38,2.5 TB,2 years,Tape,LTO-6,New,IBM 00V7590 Media Tape LTO6 2.5/6.25 TB **New Retail** LTO Ultrium 6 Data Cartridge 25/625 TB - (Consumables > Data Cartridges),"<a href=""https://www.amazon.co.uk/dp/B00AR3DQRY"">IBM 00V7590 Media Tape LTO6 2.5/6.25 TB **New Retail** LTO Ultrium 6 Data Cartridge 25/625 TB - (Consumables > Data Cartridges)</a>"
£0.015,£15.17,£121,8 TB,2 years,"Internal 3.5""",HDD,New,"Seagate BarraCuda, 8 TB, Internal Hard Drive, SATA 6 Gbit/s, 3.5"", 5400 RPM, 256 MB Cache for Desktop PC (ST8000DM004)","<a href=""https://www.amazon.co.uk/dp/B075WYBQXJ"">Seagate BarraCuda, 8 TB, Internal Hard Drive, SATA 6 Gbit/s, 3.5"", 5400 RPM, 256 MB Cache for Desktop PC (ST8000DM004)</a>","<a href=""https://www.amazon.co.uk/dp/B075WYBQXJ"">Seagate BarraCuda, 8 TB, Internal Hard Drive, SATA 6 Gbit/s, 3.5"", 5400 RPM, 256 MB Cache for Desktop PC (ST8000DM004)</a>"
£0.015,£15.19,£304,20 TB,2 years,"Internal 3.5""",HDD,Used,"Toshiba Enterprise HDD 20TB, MG10ACA20TE","<a href=""https://www.amazon.co.uk/dp/B0BMQWLCCM"">Toshiba Enterprise HDD 20TB, MG10ACA20TE</a>","<a href=""https://www.amazon.co.uk/dp/B0BMQWLCCM"">Toshiba Enterprise HDD 20TB, MG10ACA20TE</a>"
£0.015,£15.25,£183,12 TB,3 years,"Internal 3.5""",HDD,Used,"Seagate IronWolf ST12000VN0008 - Hard drive - 12 TB - internal - 3.5"" - SATA 6Gb/s - 7200 rpm - buffer: 256 MB Mechanical Hard Disk","<a href=""https://www.amazon.co.uk/dp/B07J351T2V"">Seagate IronWolf ST12000VN0008 - Hard drive - 12 TB - internal - 3.5"" - SATA 6Gb/s - 7200 rpm - buffer: 256 MB Mechanical Hard Disk</a>","<a href=""https://www.amazon.co.uk/dp/B07J351T2V"">Seagate IronWolf ST12000VN0008 - Hard drive - 12 TB - internal - 3.5"" - SATA 6Gb/s - 7200 rpm - buffer: 256 MB Mechanical Hard Disk</a>"
£0.015,£15.29,£306,20 TB,2 years,"External 3.5""",HDD,New,"WD 20TB Elements External Hard Drive, Desktop HDD storage, USB 3.0 compatible, Fast Transfer rates, Plug-and-play storage for all your pictures, videos, music and documents, Black","<a href=""https://www.amazon.co.uk/dp/B09TYZCN61"">WD 20TB Elements External Hard Drive, Desktop HDD storage, USB 3.0 compatible, Fast Transfer rates, Plug-and-play storage for all your pictures, videos, music and documents, Black</a>"
£0.015,£15.38,£369,24 TB,1 year,"Internal 3.5""",HDD,Used,"Seagate Exos X24 24TB internal server Hard drive ST24000NM000C 3.5"" HDD SATA3 512MB 7200RPM (Renewed)","<a href=""https://www.amazon.co.uk/dp/B0DFCTBDRQ"">Seagate Exos X24 24TB internal server Hard drive ST24000NM000C 3.5"" HDD SATA3 512MB 7200RPM (Renewed)</a>"
£0.016,£15.56,£778,2.5 TB x20,,Tape,LTO-6,New,"HP C7976WL LTO-6 Ultrium MP WORM Custom Labeled Data Cartridge (6.25TB, 400MBps)","<a href=""https://www.amazon.co.uk/dp/B00COZ293K"">HP C7976WL LTO-6 Ultrium MP WORM Custom Labeled Data Cartridge (6.25TB, 400MBps)</a>"
£0.016,£15.58,£125,8 TB,3 years,"External 3.5""",HDD,Used,"Seagate Desktop, 8 TB, External Hard Drive HDD – USB 3.0 for PC Laptop and Mac and Two-year Rescue Services (STGY8000400), Black","<a href=""https://www.amazon.co.uk/dp/B07CQJBSQL"">Seagate Desktop, 8 TB, External Hard Drive HDD – USB 3.0 for PC Laptop and Mac and Two-year Rescue Services (STGY8000400), Black</a>","<a href=""https://www.amazon.co.uk/dp/B07CQJBSQL"">Seagate Desktop, 8 TB, External Hard Drive HDD – USB 3.0 for PC Laptop and Mac and Two-year Rescue Services (STGY8000400), Black</a>"
£0.016,£15.63,£281,18 TB,2 years,"External 3.5""",HDD,Used,"WD 18TB Elements Desktop External Hard Drive - USB 3.0, Black","<a href=""https://www.amazon.co.uk/dp/B08KY32HFR"">WD 18TB Elements Desktop External Hard Drive - USB 3.0, Black</a>","<a href=""https://www.amazon.co.uk/dp/B08KY32HFR"">WD 18TB Elements Desktop External Hard Drive - USB 3.0, Black</a>"
£0.016,£15.72,£283,18 TB,,"Internal 3.5""",HDD,New,"Toshiba 18TB Enterprise Internal Hard Drive – MG Series 3.5' SATA HDD Mainstream server and storage, 24/7 Reliable Operation, Hyperscale and cloud storage (MG08ACA16TE)","<a href=""https://www.amazon.co.uk/dp/B093Z5LFWD"">Toshiba 18TB Enterprise Internal Hard Drive – MG Series 3.5' SATA HDD Mainstream server and storage, 24/7 Reliable Operation, Hyperscale and cloud storage (MG08ACA16TE)</a>"
£0.016,£15.74,£31,2 TB,,"Internal 3.5""",HDD,New,Seagate ST2000VM003 Pipeline HD 2 TB 3.5-Inch Internal Hard Drive - Black,"<a href=""https://www.amazon.co.uk/dp/B008B0RQ1C"">Seagate ST2000VM003 Pipeline HD 2 TB 3.5-Inch Internal Hard Drive - Black</a>","<a href=""https://www.amazon.co.uk/dp/B008B0RQ1C"">Seagate ST2000VM003 Pipeline HD 2 TB 3.5-Inch Internal Hard Drive - Black</a>"
£0.016,£15.74,£31,2 TB,,"Internal 3.5""",HDD,Used,Seagate ST2000VM003 Pipeline HD 2 TB 3.5-Inch Internal Hard Drive - Black,"<a href=""https://www.amazon.co.uk/dp/B008B0RQ1C"">Seagate ST2000VM003 Pipeline HD 2 TB 3.5-Inch Internal Hard Drive - Black</a>","<a href=""https://www.amazon.co.uk/dp/B008B0RQ1C"">Seagate ST2000VM003 Pipeline HD 2 TB 3.5-Inch Internal Hard Drive - Black</a>"
