Price per GB,Price per TB,Price,Capacity,Warranty,Form Factor,Technology,Condition,Affiliate Link,Affiliate Link HTML
A$0.112,A$112,A$447,4 TB,,Internal,SSD,New,SAMSUNG 870 QVO 4 TB SATA 2.5 Inch Internal Solid State Drive (SSD) (MZ-77Q4T0),"<a href=""https://www.amazon.com.au/dp/B08FJCQX5V"">SAMSUNG 870 QVO 4 TB SATA 2.5 Inch Internal Solid State Drive (SSD) (MZ-77Q4T0)</a>"
A$0.112,A$112,A$112,1 TB,,Internal,SSD,New,"Crucial MX500 1TB SATA 2.5-inch 7mm Internal SSD, 1000, CT1000MX500SSD1, Blue/Gray","<a href=""https://www.amazon.com.au/dp/B078211KBB"">Crucial MX500 1TB SATA 2.5-inch 7mm Internal SSD, 1000, CT1000MX500SSD1, Blue/Gray</a>"
A$0.112,A$112,A$225,2 TB,,M.2,NVMe,New,"Silicon Power 2TB XS70 - Works with PlayStation 5, Nvme PCIe Gen4 M.2 2280 Internal Gaming SSD R/W up to 7,300/6,800 MB/s (SP02KGBP44XS7005)","<a href=""https://www.amazon.com.au/dp/B09T2WNKNZ"">Silicon Power 2TB XS70 - Works with PlayStation 5, Nvme PCIe Gen4 M.2 2280 Internal Gaming SSD R/W up to 7,300/6,800 MB/s (SP02KGBP44XS7005)</a>"
A$0.113,A$113,A$113,1 TB,,"Internal 3.5""",HDD,New,"Seagate Skyhawk 1TB, Video Internal Hard HDD – 3.5"", SATA 6Gb/s, 256MB Cache, for DVR NVR Security Camera System, FFp (ST1000VX013)","<a href=""https://www.amazon.com.au/dp/B0BLT15L2Z"">Seagate Skyhawk 1TB, Video Internal Hard HDD – 3.5"", SATA 6Gb/s, 256MB Cache, for DVR NVR Security Camera System, FFp (ST1000VX013)</a>"
A$0.113,A$113,A$226,2 TB,5 years,M.2,NVMe,New,"CORSAIR MP600 CORE Mini 2TB M.2 NVMe PCIe x4 Gen4 2 SSD – M.2 2230 – Up to 5,000MB/sec Sequential Read – High-Density QLC NAND – Great for Steam Deck, ASUS ROG Ally, Microsoft Surface Pro – Black","<a href=""https://www.amazon.com.au/dp/B0CKXXY791"">CORSAIR MP600 CORE Mini 2TB M.2 NVMe PCIe x4 Gen4 2 SSD – M.2 2230 – Up to 5,000MB/sec Sequential Read – High-Density QLC NAND – Great for Steam Deck, ASUS ROG Ally, Microsoft Surface Pro – Black</a>"
A$0.113,A$113,A$29,256 GB,,M.2,SATA,New,"Silicon Power A55 256GB M.2 2280 SATA III SSD, 3D NAND with SLC Cache, Up to 560MB/s, Internal Solid State Drive for Desktop Laptop Computer","<a href=""https://www.amazon.com.au/dp/B07YK73XGX"">Silicon Power A55 256GB M.2 2280 SATA III SSD, 3D NAND with SLC Cache, Up to 560MB/s, Internal Solid State Drive for Desktop Laptop Computer</a>"
A$0.113,A$113,A$113,1 TB,,"Internal 2.5""",HDD,New,Seagate 1TB Barracuda SATA 6Gb/s 128MB Cache 2.5-Inch 7mm Internal Hard Drive (ST1000LM048),"<a href=""https://www.amazon.com.au/dp/B01LYNQXCP"">Seagate 1TB Barracuda SATA 6Gb/s 128MB Cache 2.5-Inch 7mm Internal Hard Drive (ST1000LM048)</a>"
A$0.113,A$113,A$227,2 TB,,M.2,NVMe,New,"SAMSUNG 990 EVO SSD 2TB, PCIe 5.0 x2 M.2 2280, Speeds Up-to 5,000MB/s, Upgrade Storage for PC/Laptops, HMB Technology and Intelligent Turbowrite (MZ-V9E2T0B/AM)","<a href=""https://www.amazon.com.au/dp/B0CRC7H66Z"">SAMSUNG 990 EVO SSD 2TB, PCIe 5.0 x2 M.2 2280, Speeds Up-to 5,000MB/s, Upgrade Storage for PC/Laptops, HMB Technology and Intelligent Turbowrite (MZ-V9E2T0B/AM)</a>"
A$0.114,A$114,A$27,240 GB,,M.2,NVMe,New,Patriot P310 240GB Internal SSD - NVMe PCIe M.2 Gen3 x 4 - Low-Power Consumption Solid State Drive - P310P240GM28,"<a href=""https://www.amazon.com.au/dp/B09KY7PMCS"">Patriot P310 240GB Internal SSD - NVMe PCIe M.2 Gen3 x 4 - Low-Power Consumption Solid State Drive - P310P240GM28</a>"
A$0.114,A$114,A$15,128 GB,,microSD,Flash,New,"Silicon Power 128GB Micro SD Card, Nintendo-Switch Compatible, 4K Video Recording, Micro SDXC Memory Card UHS-I A1 Class 10 with Adapter","<a href=""https://www.amazon.com.au/dp/B08FTDTHPJ"">Silicon Power 128GB Micro SD Card, Nintendo-Switch Compatible, 4K Video Recording, Micro SDXC Memory Card UHS-I A1 Class 10 with Adapter</a>"
