Price per GB,Price per TB,Price,Capacity,Warranty,Form Factor,Technology,Condition,Affiliate Link,Affiliate Link HTML
"€0,018","€18,48",€74,4 TB,,"Internal 3.5""",HDD,Used,"IronWolf Pro ST4000NE001 disco duro interno 3.5"" 4000 GB Serial ATA III (Reacondicionado)","<a href=""https://www.amazon.es/dp/B0CRBJK29D"">IronWolf Pro ST4000NE001 disco duro interno 3.5"" 4000 GB Serial ATA III (Reacondicionado)</a>"
"€0,019","€18,93",€151,8 TB,3 years,"External 3.5""",HDD,Used,"Seagate Technology Unidad de disco duro externo de 8 TB, 3,5 pulgadas, USB 3.0, PC y portátil, Xbox y PS4, 2 años de servicio de rescate de datos (STGY8000400)","<a href=""https://www.amazon.es/dp/B07CQJBSQL"">Seagate Technology Unidad de disco duro externo de 8 TB, 3,5 pulgadas, USB 3.0, PC y portátil, Xbox y PS4, 2 años de servicio de rescate de datos (STGY8000400)</a>","<a href=""https://www.amazon.es/dp/B07CQJBSQL"">Seagate Technology Unidad de disco duro externo de 8 TB, 3,5 pulgadas, USB 3.0, PC y portátil, Xbox y PS4, 2 años de servicio de rescate de datos (STGY8000400)</a>"
"€0,019","€18,96",€152,8 TB,,"Internal 3.5""",HDD,New,"Seagate BarraCuda, 8 TB, disco duro interno, SATA de 6 Gbit/s, 3,5"", 5400 RPM, caché de 256 MB para PC de escritorio (ST8000DM004)","<a href=""https://www.amazon.es/dp/B075WYBQXJ"">Seagate BarraCuda, 8 TB, disco duro interno, SATA de 6 Gbit/s, 3,5"", 5400 RPM, caché de 256 MB para PC de escritorio (ST8000DM004)</a>","<a href=""https://www.amazon.es/dp/B075WYBQXJ"">Seagate BarraCuda, 8 TB, disco duro interno, SATA de 6 Gbit/s, 3,5"", 5400 RPM, caché de 256 MB para PC de escritorio (ST8000DM004)</a>"
"€0,019","€19,00",€266,14 TB,,"Internal 3.5""",HDD,New,"Seagate IronWolf Pro, 14TB, NAS, Disco duro interno, HDD, CMR 3,5"" SATA 6GB/s, caché 256 MB, almacenamiento RAID, 3 años Rescue Services (ST14000NE0008)","<a href=""https://www.amazon.es/dp/B07GTGDZP8"">Seagate IronWolf Pro, 14TB, NAS, Disco duro interno, HDD, CMR 3,5"" SATA 6GB/s, caché 256 MB, almacenamiento RAID, 3 años Rescue Services (ST14000NE0008)</a>"
"€0,019","€19,38",€310,16 TB,2 years,"External 3.5""",HDD,Used,"WD Elements 16 TB Disco duro externo de escritorio, Compatibilidad USB 3.0, Plug-and-Play solución para un fácil almacenamiento adicional de tus fotos, música, vídeos y archivos importantes.","<a href=""https://www.amazon.es/dp/B08KY4P7L5"">WD Elements 16 TB Disco duro externo de escritorio, Compatibilidad USB 3.0, Plug-and-Play solución para un fácil almacenamiento adicional de tus fotos, música, vídeos y archivos importantes.</a>","<a href=""https://www.amazon.es/dp/B08KY4P7L5"">WD Elements 16 TB Disco duro externo de escritorio, Compatibilidad USB 3.0, Plug-and-Play solución para un fácil almacenamiento adicional de tus fotos, música, vídeos y archivos importantes.</a>"
"€0,020","€19,58",€235,12 TB,2 years,"External 3.5""",HDD,Used,"Seagate Expansion Desktop, 12 TB, Unidad De Disco Duro Externa HDD, 3.5"", USB 3.0, PC & Notebook, 2 Años Rescue Services (STKP12000400)","<a href=""https://www.amazon.es/dp/B093BSR3H4"">Seagate Expansion Desktop, 12 TB, Unidad De Disco Duro Externa HDD, 3.5"", USB 3.0, PC & Notebook, 2 Años Rescue Services (STKP12000400)</a>","<a href=""https://www.amazon.es/dp/B093BSR3H4"">Seagate Expansion Desktop, 12 TB, Unidad De Disco Duro Externa HDD, 3.5"", USB 3.0, PC & Notebook, 2 Años Rescue Services (STKP12000400)</a>"
"€0,020","€19,79",€198,10 TB,2 years,"External 3.5""",HDD,Used,"Seagate Expansion Desktop, 10 TB, Unidad De Disco Duro Externa HDD, 3.5"", USB 3.0, PC & Notebook, 2 Años Rescue Services (STKP10000402)","<a href=""https://www.amazon.es/dp/B093BWHR9C"">Seagate Expansion Desktop, 10 TB, Unidad De Disco Duro Externa HDD, 3.5"", USB 3.0, PC & Notebook, 2 Años Rescue Services (STKP10000402)</a>","<a href=""https://www.amazon.es/dp/B093BWHR9C"">Seagate Expansion Desktop, 10 TB, Unidad De Disco Duro Externa HDD, 3.5"", USB 3.0, PC & Notebook, 2 Años Rescue Services (STKP10000402)</a>"
"€0,020","€19,80",€79,4 TB,2 years,"Internal 3.5""",HDD,Used,"Seagate Enterprise ST4000NM0035 4000GB Serial ATA III - Disco Duro (Serial ATA III, Unidad de Disco Duro, 5, 12, 5-60 °C)","<a href=""https://www.amazon.es/dp/B01CG0DD1E"">Seagate Enterprise ST4000NM0035 4000GB Serial ATA III - Disco Duro (Serial ATA III, Unidad de Disco Duro, 5, 12, 5-60 °C)</a>","<a href=""https://www.amazon.es/dp/B01CG0DD1E"">Seagate Enterprise ST4000NM0035 4000GB Serial ATA III - Disco Duro (Serial ATA III, Unidad de Disco Duro, 5, 12, 5-60 °C)</a>"
"€0,020","€20,11",€322,16 TB,,"Internal 3.5""",HDD,New,"Seagate IronWolf Pro, 16TB, NAS, Disco duro interno, HDD, CMR 3,5"" SATA 6GB/s, caché 256 MB, almacenamiento RAID, 3 años Rescue Services (ST16000NE000)","<a href=""https://www.amazon.es/dp/B07SJTST6T"">Seagate IronWolf Pro, 16TB, NAS, Disco duro interno, HDD, CMR 3,5"" SATA 6GB/s, caché 256 MB, almacenamiento RAID, 3 años Rescue Services (ST16000NE000)</a>","<a href=""https://www.amazon.es/dp/B07SJTST6T"">Seagate IronWolf Pro, 16TB, NAS, Disco duro interno, HDD, CMR 3,5"" SATA 6GB/s, caché 256 MB, almacenamiento RAID, 3 años Rescue Services (ST16000NE000)</a>"
"€0,020","€20,19",€323,16 TB,2 years,"External 3.5""",HDD,New,"WD Elements 16 TB Disco duro externo de escritorio, Compatibilidad USB 3.0, Plug-and-Play solución para un fácil almacenamiento adicional de tus fotos, música, vídeos y archivos importantes.","<a href=""https://www.amazon.es/dp/B08KY4P7L5"">WD Elements 16 TB Disco duro externo de escritorio, Compatibilidad USB 3.0, Plug-and-Play solución para un fácil almacenamiento adicional de tus fotos, música, vídeos y archivos importantes.</a>","<a href=""https://www.amazon.es/dp/B08KY4P7L5"">WD Elements 16 TB Disco duro externo de escritorio, Compatibilidad USB 3.0, Plug-and-Play solución para un fácil almacenamiento adicional de tus fotos, música, vídeos y archivos importantes.</a>"
