Price per GB,Price per TB,Price,Capacity,Warranty,Form Factor,Technology,Condition,Affiliate Link,Affiliate Link HTML
"€0,019","€18,64",€336,18 TB,2 years,"External 3.5""",HDD,Used,"WD 18 To Elements HDD de bureau, USB 3.0, (supplémentaire pour les photos, la musique, les vidéos et tous les autres fichiers, résistant aux chocs) noir","<a href=""https://www.amazon.fr/dp/B08KY32HFR"">WD 18 To Elements HDD de bureau, USB 3.0, (supplémentaire pour les photos, la musique, les vidéos et tous les autres fichiers, résistant aux chocs) noir</a>","<a href=""https://www.amazon.fr/dp/B08KY32HFR"">WD 18 To Elements HDD de bureau, USB 3.0, (supplémentaire pour les photos, la musique, les vidéos et tous les autres fichiers, résistant aux chocs) noir</a>"
"€0,019","€18,68",€149,8 TB,,"External 3.5""",HDD,Used,"Seagate OneTouch Hub, 8To, Disque dur externe, USB 3.0, pour PC, ordinateur portable et Mac, 3 ans Rescue Serices (STLC8000400)","<a href=""https://www.amazon.fr/dp/B093WZHS1G"">Seagate OneTouch Hub, 8To, Disque dur externe, USB 3.0, pour PC, ordinateur portable et Mac, 3 ans Rescue Serices (STLC8000400)</a>","<a href=""https://www.amazon.fr/dp/B093WZHS1G"">Seagate OneTouch Hub, 8To, Disque dur externe, USB 3.0, pour PC, ordinateur portable et Mac, 3 ans Rescue Serices (STLC8000400)</a>"
"€0,019","€18,85",€377,20 TB,2 years,"External 3.5""",HDD,New,"WD 20 To Elements HDD de bureau, USB 3.0, (supplémentaire pour les photos, la musique, les vidéos et tous les autres fichiers, résistant aux chocs) noir","<a href=""https://www.amazon.fr/dp/B09TYZCN61"">WD 20 To Elements HDD de bureau, USB 3.0, (supplémentaire pour les photos, la musique, les vidéos et tous les autres fichiers, résistant aux chocs) noir</a>"
"€0,019","€18,93",€151,8 TB,,"External 3.5""",HDD,Used,"Seagate Desktop, 8 To, Disque dur externe – USB 3,0 pour PC Laptop et Mac, 2 ans Rescue Services (STGY8000400)","<a href=""https://www.amazon.fr/dp/B07CQJBSQL"">Seagate Desktop, 8 To, Disque dur externe – USB 3,0 pour PC Laptop et Mac, 2 ans Rescue Services (STGY8000400)</a>","<a href=""https://www.amazon.fr/dp/B07CQJBSQL"">Seagate Desktop, 8 To, Disque dur externe – USB 3,0 pour PC Laptop et Mac, 2 ans Rescue Services (STGY8000400)</a>"
"€0,019","€19,00",€342,18 TB,5 years,"Internal 3.5""",HDD,New,SEAGATE Exos X18 3 5 SATA 6Gb s 256Mo 18To,"<a href=""https://www.amazon.fr/dp/B08JV6PP9B"">SEAGATE Exos X18 3 5 SATA 6Gb s 256Mo 18To</a>","<a href=""https://www.amazon.fr/dp/B08JV6PP9B"">SEAGATE Exos X18 3 5 SATA 6Gb s 256Mo 18To</a>"
"€0,019","€19,00",€418,22 TB,,"Internal 3.5""",HDD,New,"Seagate Exos X22 ST22000NM001E Disque Dur d'entreprise SATA 6 Go/s 7200 TR/Min 3,5"" 22 to","<a href=""https://www.amazon.fr/dp/B0C3B2MVLJ"">Seagate Exos X22 ST22000NM001E Disque Dur d'entreprise SATA 6 Go/s 7200 TR/Min 3,5"" 22 to</a>"
"€0,019","€19,11",€191,10 TB,2 years,"External 3.5""",HDD,Used,"Seagate Expansion Desktop, 10To, Disque Dur Externe HDD, 3.5"", USB 3.0, PC & Notebook, 2 Ans Services Rescue (STKP10000402)","<a href=""https://www.amazon.fr/dp/B093BWHR9C"">Seagate Expansion Desktop, 10To, Disque Dur Externe HDD, 3.5"", USB 3.0, PC & Notebook, 2 Ans Services Rescue (STKP10000402)</a>","<a href=""https://www.amazon.fr/dp/B093BWHR9C"">Seagate Expansion Desktop, 10To, Disque Dur Externe HDD, 3.5"", USB 3.0, PC & Notebook, 2 Ans Services Rescue (STKP10000402)</a>"
"€0,019","€19,29",€347,18 TB,2 years,"Internal 3.5""",HDD,New,"Toshiba 18TB Disque dur interne d'entreprise - Serveur et stockage grand public MG Series 3.5' SATA HDD, fonctionnement fiable 24h/24 et 7j/7, stockage hyperscale et cloud (MG08ACA16TE)","<a href=""https://www.amazon.fr/dp/B093Z5LFWD"">Toshiba 18TB Disque dur interne d'entreprise - Serveur et stockage grand public MG Series 3.5' SATA HDD, fonctionnement fiable 24h/24 et 7j/7, stockage hyperscale et cloud (MG08ACA16TE)</a>"
"€0,019","€19,48",€390,20 TB,,"Internal 3.5""",HDD,Used,Dysk serwerowy Seagate Exos X20 20 TB 3.5'' SATA III (6 GB/s) (ST20000NM007D),"<a href=""https://www.amazon.fr/dp/B09MWJHDNC"">Dysk serwerowy Seagate Exos X20 20 TB 3.5'' SATA III (6 GB/s) (ST20000NM007D)</a>","<a href=""https://www.amazon.fr/dp/B09MWJHDNC"">Dysk serwerowy Seagate Exos X20 20 TB 3.5'' SATA III (6 GB/s) (ST20000NM007D)</a>"
"€0,020","€19,56",€235,12 TB,,"External 3.5""",HDD,Used,"WD_BLACK D10 12To Game Drive pour Xbox, Disque Dur Externe, jusqu'à 250 Mo/s, Abonnement de 1 mois au Xbox Game Pass Ultimate inclus, Refroidissement actif, 7200 TR/MIN","<a href=""https://www.amazon.fr/dp/B07WF8LQL5"">WD_BLACK D10 12To Game Drive pour Xbox, Disque Dur Externe, jusqu'à 250 Mo/s, Abonnement de 1 mois au Xbox Game Pass Ultimate inclus, Refroidissement actif, 7200 TR/MIN</a>","<a href=""https://www.amazon.fr/dp/B07WF8LQL5"">WD_BLACK D10 12To Game Drive pour Xbox, Disque Dur Externe, jusqu'à 250 Mo/s, Abonnement de 1 mois au Xbox Game Pass Ultimate inclus, Refroidissement actif, 7200 TR/MIN</a>"
